year,,year count,,air plane,number cuush plane,Operator,count Operator,Country,Country count,,Crash cause,Crash cause count,Flight phase,Flight phase count,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ilyushin II-78,1,Channel Express - Air Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ilyushin II-96,1,Channel Flying Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jones Wonga Monoplane,1,Chemtrad Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junkers G.23,1,Cherokee Express Air Cargo,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Junkers JU.352 Herkules,1,Chicago %26 Southern Air Lines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalinin K-7,1,China Flying Dragon Special Aviation Company,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keystone K-47 Pathfinder,1,China Southwest Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keystone LB-10,1,Cim Associates,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Keystone XB-1,1,Civil Air Patrol,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kreutzer K-5 Air Coach,1,Comair - South Africa,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laird LC-B,1,Comisi¨®n Federal de Electricidad,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lasco Lascowl,1,Commuter Air Philippines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lascurain Aura,1,Compa?¨ªa Auxiliar de Navegaci¨®n A¨¦rea,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lat¨¦co¨¨re 17,1,Compagnie A¨¦rienne de Transports Indochinois - CATI,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lat¨¦co¨¨re 23,1,Compagnie A¨¦rienne Fran?aise,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lat¨¦co¨¨re 300,1,Compagnie G¨¦n¨¦rale TransSaharienne - CGT France,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lat¨¦co¨¨re 301,1,Compania Boliviana de Rutas A¨¦reas,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lat¨¦co¨¨re 340,1,Continental Air Lines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latham 47,1,COPA Panama - Compania Panamena de Aviacion,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laville PS-89 (ZIG-1),1,Cordova Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learjet 40,1,Corporate Aviation Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Learjet 75,1,Corrieri Aerei Militari - CAM,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Letov S-32,1,Critical Air Medicine,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lior¨¦-et-Olivier LeO 453,1,Crossair,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lior¨¦-et-Olivier LeO H-196,1,Crowley Maritime Corporation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lior¨¦-et-Olivier LeO H-245,1,Dalavia - Dal'nevostochny Avialinii,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lior¨¦-et-Olivier LeO H-246,1,DAS Air Cargo - Dairo Air Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lior¨¦-et-Olivier LeO H-253,1,Dodita Air Cargo,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lior¨¦-et-Olivier LeO H-45,1,Dominion Airways - Canada,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lior¨¦-et-Olivier LeO H-47,1,Dorado Wings,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed C-69 Constellation,1,Douglas Aircraft Company,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed L-1856 LearStar,1,DTA Angola Airlines - Direc??o dos Transportes A¨¦reos,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lockheed L-649 Constellation,1,Dynamic Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LWS-6 Zubr (PZL.30 Zubr),1,East West Airlines - Australia,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macchi C.100,1,Eastbourne Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macchi M.C.94,1,Edmonton %26 Northern Alberta Aero Club,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin PM-1,1,El Magal Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McDonnell Douglas C-17 Globemaster III,1,EPPS Air Service,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McDonnell Douglas MD-88,1,Ethiopian Government,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mitsubishi Ki-21,1,Executive Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mitsubishi MC-20,1,Executive Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morane-Saulnier M.S.60 Moth,1,Expreso A¨¦reo Interamericano,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,1,Fairbanks Air Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nakajima N36,1,Falkland Islands Government Air Service - FIGAS,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAL Saras,1,Far East Air Transport,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naval Aircraft Factory PH-2,1,Farman Line,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nieuport-Delage NiD-30,1,Federal Government of Nigeria,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northrop Alpha 2,1,Flight Refuelling,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northrop Alpha 3,1,Fokker Aircraft,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OFM F.VII,1,Fontana Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pander S.4 Postjager,1,Fred. Olsen's Air Transport - Fred. Olsen Flyselskap,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Petlyakov Pe-8,1,Fugro Airborne Surveys,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Piaggio P.1HH HammerHead,1,Gabonese Air Force - Forces A¨¦riennes Gabonaises,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pitcairn PA-8 Mailwing,1,Galena Air Service,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polikarpov PM-1,1,General Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polikarpov R-1,1,Geoterrex,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potez 33,1,GP-Express Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potez 621,1,Grahame-White Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potez 662,1,Great Barrier Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Potez 840,1,Guicango,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PZL-Mielec MD-12,1,Gulf Aviation - Oman,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rausch Super 18 Hudstar,1,Gulfstream Aerospace Corporation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rohrbach Ro.VIII Roland,1,Hamilton Aero Club,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan Standard,1,Hawk Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabca S.73,1,Helicol Colombia - Helicopteros Nacionales de Colombia,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabca W.8,1,Hemet Exploration,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saro A.19 Cloud,1,Hemet Valley Flying Service,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saunders ST-27,1,Henderson Flying School,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savoia-Marchetti S.71,1,Heringer Taxi A¨¦reo,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savoia-Marchetti SM.74,1,Highland Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shin Meiwa US-2,1,Holden's Air Transport Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short L.17 Scylla,1,Hollinger Ungava Transport,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short S.19 Singapore III,1,Holyman's Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short S.22 Scion Senior,1,Hop-a-Jet,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short S.30 Empire Flying Boat,1,Hunting Aerosurveys,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short S.33 Empire Flying Boat,1,Ibertrans A¨¦rea,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SIAI-Marchetti SM.102,1,Ilford Riverton Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sikorsky S-29,1,Inair Panama - Internacional de Aviaci¨®n,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sikorsky S-35,1,Indian Overseas Airlines - IOA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sikorsky S-36,1,Inex-Adria Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sikorsky S-41,1,Instone Air Line,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sino Swearingen SJ30-2,1,Intan Angkasa Air Service,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNCAC NC.211 Cormoran,1,Interisland Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNCASE SE.1010,1,International Air Freight,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SNCASE SE.200,1,Iran Airtour,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Socata TBM-910,1,Irish Aero Club,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SPCA 10,1,Islands Nationair,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spectrum FJ33,1,Isle?a Airlines - Isle?a de Inversiones,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stearman M-2 Speedmail,1,Japan Domestic Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supermarine Air Yacht,1,Jersey Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supermarine Sea Eagle,1,Jet International,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tellier T.3,1,Kabo Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas-Morse MB-2,1,Kalitta Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tupolev ANT-27,1,Kalitta Charters - Kalitta Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tupolev ANT-7,1,Keewatin Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tupolev TU-114,1,Kerr-McGee Corporation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tupolev TU-142,1,Keystone Air Service,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tupolev TU-4,1,Kimex,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T¨¹rk Hava Kurumu THK-5A,1,Kingston Flying Club,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verville 104 Air Coach,1,Kodiak Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,VFW-Fokker 614,1,KoryakAvia,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers 467 Wellington XIV,1,Kostroma Air - Kostromskoye Aviapredpriatie,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers 490 Wellington XVIII,1,Kyrgyzstan Airlines - Kyrgyzstan Aba Zholdoru,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers Valentia,1,LACOL Colombia - Lineas A¨¦reas Colombianas,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers Vanguard (Serie I),1,Lancashire Aero Club,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers Vellox,1,LANSA Peru - Lineas A¨¦reas Nacionales del Peru,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers Viastra,1,Lao Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vickers Wellington,1,Larry Johnson Air Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waco YKC,1,Laurentian Air Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waco YOC,1,Lear Jet Corporation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waco ZQC-6,1,Leavens Brothers Air Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Westland Dreadnought,1,Libyan Government,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Xian H-6,1,L¨ªnea A¨¦rea Amaszonas,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L¨ªnea A¨¦rea Taxpa,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linea Turistica Aerotuy - LTA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lineas A¨¦reas de Transporte Nacional - LATN,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lineas A¨¦reas del Caribe - LIDCA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lineas A¨¦reas Guerrero Oaxaca - LAGOSA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lineas A¨¦reas Mexicanas - LAMSA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lineas A¨¦reas Orientales,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ling-Temco-Vought,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linha A¨¦rea Transcontinental Brasileira - LATB,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Linhas A¨¦reas Paulistas,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luthi Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luxair,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lynch Flying Service,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macfadden Publications,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnicharters,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnum Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malagasy Air Force - Arm¨¦e de l'Air Malgache,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Malawi Police Air Wing,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mango Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Manunggal Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Martin Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masin Aircraft Company,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McAvoy Diamond Drilling %26 Development Company Ltd,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McNeely Charter Service,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methow Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miami Air Lease,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Midwest Air Charter,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Million Air Charter,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Montreal Light Aeroplane Club,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morton Air Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mountain Air Cargo,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mozambique Air Force - For?a A¨¦rea de Mo?ambique,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Air Transport - Canada,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Airlines - National Air Cargo,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Aviation Displays,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,National Flights Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Necon Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nederlands-Indische Vliegclub,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New York Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NewCal Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Newfoundland Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nitto Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North American Aircraft Trading,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Coast Aviation - PNG,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North East Bolivian Airways - NEBA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North Star Air Cargo,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast Jet,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern %26 Scottish Airways,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northern Air Service - USA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northland Air Manitoba,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nucleo Comunicazioni Avio Linee,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ortner Air Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ottawa Flying Club,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pacific Aerial Transport,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pacific Air Express - USA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pacific Southwest Airlines - PSA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pakistan Airways - Pak Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pan African Air Charter,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantanal Linhas A¨¦reas Sul-Matogrossenses,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Papua New Guinea Defence Force,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pars Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Partenavia,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pel-Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pennsylvania Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peruvian Armed Forces - Ej¨¦rcito del Per¨²,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peterborough Parachute Centre,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Philippine Aerotransport,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phoenix Air Group,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pink Aviation Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Planemasters,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Polic¨ªa Nacional del Peru,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ponderosa Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Chilean,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Dutch,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Isreali,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Nicaraguan,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Peruvian,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Philippine,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Private Spanish,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pulkovo Aviation Enterprise,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PZL-Mielec - WSK Mielec - Wytw¨®rni Sprzetu Komunikacyjnego,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qu¨¦becair,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Redding Aero Enterprises,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Renan,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Resort Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Robertson Aircraft Corporation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rowley Aviation,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Air Freight - Royal Air Charter,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Jordanian Air Force,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Royal Victorian Aero Club,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryan International Airlines,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S. Summerfield Company,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safari Air Services,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Safcol Seafoods,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Saint-F¨¦licien Air Service,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salair,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Salmon Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SAN Ecuador - Servicios A¨¦reos Nacionales,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SANSA - Servicios A¨¦reos Nacionales,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Scenic Air Tours,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schlee-Brock Aircraft Corporation - SBAC,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Section Civile de Liaisons A¨¦riennes M¨¦tropolitaines - SCLAM,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servant Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Serve Air,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicio Aut¨®nomo de Transporte A¨¦reo - SATA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos Nacionales - SAN,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos Santa Ana - SASA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios A¨¦reos Sucre - SASCA,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servicios y Transportes A¨¦reos Petroleros - STAP,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Servivensa - Servicios Avensa - Servicios Aerovias Venezolanas,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sete Taxi A¨¦reo,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Short Brothers,3,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Silk Way Airlines,3,,,,,,,,
